Gruppenname;GruppennameLang
AfD;Alternative für Deutschland
Alle in EU;Alle in EU
Andreas Papst;Andreas Papst
BP;Bayernpartei
BSW;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit
BUNDESTAGVERKLEINERUNG;BUNDESTAGVERKLEINERUNG
Baasch, Björn;Baasch, Björn
Bedingungsloses-Grundeinkommen-als-Menschenrecht.de;Bedingungsloses-Grundeinkommen-als-Menschenrecht.de
Benjamin Jäger;Benjamin Jäger
BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND
BüSo;Bürgerrechtsbewegung Solidarität
Bündnis BERNHARD WINTER: Erfahren. Anders. Ja;Bündnis BERNHARD WINTER: Erfahren. Anders. Ja
Bündnis C;Bündnis C - Christen für Deutschland
Bürger für Gerechtigkeit;Bürger für Gerechtigkeit
CDU;Christlich Demokratische Union Deutschlands in Niedersachsen
CDU;Christlich Demokratische Union Deutschlands
CSU;Christlich-Soziale Union in Bayern e.V.
DEMOKRATIE Verantwortung und Gerechtigkeit;DEMOKRATIE Verantwortung und Gerechtigkeit
DUW - Stimme für VOLKSENTSCHEIDE;DUW - Stimme für VOLKSENTSCHEIDE
Danilo Dröse;Danilo Dröse
Dialog statt Aufrüstung;Dialog statt Aufrüstung
Team Todenhöfer;Die Gerechtigkeitspartei – Team Todenhöfer
Die Linke;Die Linke
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
Direkte Demokratie und NATO-Austritt;Direkte Demokratie und NATO-Austritt
EMRE;EMRE
Einzelbewerber Bellgardt;Einzelbewerber Bellgardt
Einzelbewerber Gliese;Einzelbewerber Gliese
Einzelbewerber Matthias Sanftleben;Einzelbewerber Matthias Sanftleben
Einzelwahlvorschlag Krüger;Einzelwahlvorschlag Krüger
Erststimme gegen Korruption;Erststimme gegen Korruption
"Es darf kein ""Weiter so"" geben!";"Es darf kein ""Weiter so"" geben!"
FDP;Freie Demokratische Partei
FREIE WÄHLER;FREIE WÄHLER Niedersachsen
FREIE WÄHLER;FREIE WÄHLER
FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah
Für eine Welt ohne Grenzen, Krieg und Ausbeutung!;Für eine Welt ohne Grenzen, Krieg und Ausbeutung!
GANZUNTEN;GANZUNTEN
GRÜNE;BÜNDNIS 90/DIE GRÜNEN
GRÜNE/B 90;BÜNDNIS 90/DIE GRÜNEN
Ganz unten;Ganz unten
Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!
Ideenschmiede Rheinhessen;Ideenschmiede Rheinhessen
Initiative Gegenwind;Initiative Gegenwind
Integrität und Gerechtigkeit für ein starkes Deutschland;Integrität und Gerechtigkeit für ein starkes Deutschland
Jens Kersten;Jens Kersten
Julia Bachmann;Julia Bachmann
Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf
Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller
MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit
MLPD;Marxistisch-Leninistische Partei Deutschlands
Marburger Pogo-Anarchisten;Marburger Pogo-Anarchisten
OpaBraveheart;OpaBraveheart
PIRATEN;Piratenpartei Deutschland
Parteilos;Parteilos
PdF;Partei des Fortschritts
PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
RobbySchubert;RobbySchubert
Robert Farle;Robert Farle
SGP;Sozialistische Gleichheitspartei, Vierte Internationale
SPD;Sozialdemokratische Partei Deutschlands
SSW;Südschleswigscher Wählerverband
STÖBER;STÖBER
Stimme für Thüringen;Stimme für Thüringen
Stimme für VOLKSENTSCHEIDE;Stimme für VOLKSENTSCHEIDE
Team Orange;Team Orange
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
Tim Knauer;Tim Knauer
Tradition und Zukunft;Tradition und Zukunft
Ulf Michalsky;Ulf Michalsky
Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!
Vereinigte Direktkandidaten;Vereinigte Direktkandidaten
Verjüngungsforschung;Partei für Verjüngungsforschung
Versöhnen an Stelle von spalten - Reiner Füllmich;Versöhnen an Stelle von spalten - Reiner Füllmich
Volkmar Raidt;Volkmar Raidt
Volksbegehren;Volksbegehren
Volt;Volt Deutschland
WIR SIND ZUSAMMEN STARK (WSZ);WIR SIND ZUSAMMEN STARK (WSZ)
Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !;Wahlbündnis Move35 / 50 % Pkw-Reduzierung JETZT !
WerteUnion;WerteUnion
Zusammen machen wir Deutschland herzlicher!;Zusammen machen wir Deutschland herzlicher!
abgeordnetenwatch.de/profile/christian-pape;abgeordnetenwatch.de/profile/christian-pape
dieBasis;Basisdemokratische Partei Deutschland
für Reinhardsbrunn;für Reinhardsbrunn
parteilos;parteilos
parteilos1968;parteilos1968
ÖDP;Ökologisch-Demokratische Partei / Familie und Umwelt
ÖDP;Ökologisch-Demokratische Partei
ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei
